radio_id,brand,model,fcc_id,brand_grantee,inferred_grantee,expected_brand,reason
2303,Bintolk,BT7700,2AJGM-BT7700,2BN9A,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_code_differs_from_fcc
2304,Bintolk,BT8200,2AJGM-BT8200,2BN9A,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_code_differs_from_fcc
2307,Btech,DMR-6X2 PRO,2AJGM-DMR-6X2PRO,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2308,Btech,FRS-A1,2AJGM-FRS-A1,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2309,Btech,FRS-B1,2AJGM-FRS-B1,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2310,Btech,GMRS-PRO,2AJGM-GMRS-PRO,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2311,Btech,GMRS-V1,2AJGM-GMRS-V1,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2312,Btech,GMRS-V2,2AJGM-GMRS-V2,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2313,Btech,MURS-V1,2AJGM-MURS-V1,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2314,Btech,UV-5R,2AJGM-UV-5R,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2315,Btech,UV-5X3,2AJGM-UV-5X3,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2316,Btech,UV-PRO,2AJGM-UV-PRO,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2343,Eagle,DMR-6X2,2AJGM-DMR-6X2,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2344,Eagle,DMR-6X2 Pro,2AJGM-DMR-6X2PRO,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2478,Jingtong,DB-20,2AJGM-DB-20,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2479,Jingtong,JT-208,2AJGM-JT-208,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2480,Jingtong,JT-308,2AJGM-JT-308,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2644,Radioddity,RT-21,2AJGM-RT-21,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2645,Radioddity,RT-3S,2AJGM-RT-3S,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2707,Sainsionic,S-1,2AJGM-S-1,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2708,Sainsionic,S-320,2AJGM-S-320,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2709,Sainsionic,S-360,2AJGM-S-360,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2710,Sainsionic,S-520,2AJGM-S-520,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2711,Sainsionic,S-9,2AJGM-S-9,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2720,Soontone,UV-8R,2AJGM-UV-8R,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2731,Tekk,D-1301,2AJGM-D-1301,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2732,Tekk,D-200,2AJGM-D-200,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2733,Tekk,D-30,2AJGM-D-30,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2734,Tekk,D-400,2AJGM-D-400,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2735,Tekk,D-500,2AJGM-D-500,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2736,Tekk,D-600,2AJGM-D-600,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2737,Tekk,D-700,2AJGM-D-700,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2738,Tekk,D-800,2AJGM-D-800,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2739,Tekk,D-900,2AJGM-D-900,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2740,Tekk,X-1000,2AJGM-X-1000,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2741,Tekk,X-600,2AJGM-X-600,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2742,Tekk,X-700,2AJGM-X-700,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2743,Tekk,X-800,2AJGM-X-800,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2744,Tekk,X-900,2AJGM-X-900,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2765,Vero,UV-3R,2AJGM-UV-3R,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2766,Vero,UV-X4,2AJGM-UV-X4,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2767,Vero,UV-X5,2AJGM-UV-X5,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2769,Vero,VR N75 UHF programed & controled by Android,2AJGM-VRN75UHFPROGRAMEDCONTROLEDBYANDROID,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
2779,VGC,VR-N76,2AJGM-VGCVR-N76,,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,brand_has_no_code_but_inferred_known
