radio_id,brand,model,fcc_id,brand_grantee,inferred_grantee,expected_brand,reason
3143,"Alinco Incorporated, Electronics Division",06T,PH3DR-06T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3113,"Alinco Incorporated, Electronics Division",06TA,PH3DR-06TA,,PH3,Alinco,brand_has_no_code_but_inferred_known
3151,"Alinco Incorporated, Electronics Division",100,PH3DJ-100,,PH3,Alinco,brand_has_no_code_but_inferred_known
3156,"Alinco Incorporated, Electronics Division",135TMK2,PH3DR-135TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3160,"Alinco Incorporated, Electronics Division",135TMK3,PH3DR-135TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3172,"Alinco Incorporated, Electronics Division",175T,PH3DJ-175T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3112,"Alinco Incorporated, Electronics Division",235TMK3,PH3DR-235TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3170,"Alinco Incorporated, Electronics Division",296T,PH3DJ-296T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3142,"Alinco Incorporated, Electronics Division",435TMK2,PH3DR-435TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3126,"Alinco Incorporated, Electronics Division",435TMK3,PH3DR-435TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3127,"Alinco Incorporated, Electronics Division",500,PH3DJ-500,,PH3,Alinco,brand_has_no_code_but_inferred_known
3146,"Alinco Incorporated, Electronics Division",500TB,PH3DJ-500TB,,PH3,Alinco,brand_has_no_code_but_inferred_known
3106,"Alinco Incorporated, Electronics Division",596T,PH3DJ-596T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3109,"Alinco Incorporated, Electronics Division",596TMK2,PH3DJ-596TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3152,"Alinco Incorporated, Electronics Division",620T,PH3DR-620T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3153,"Alinco Incorporated, Electronics Division",635T,PH3DR-635T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3141,"Alinco Incorporated, Electronics Division",635T2,PH3DR-635T2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3120,"Alinco Incorporated, Electronics Division",735T,PH3DR-735T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3130,"Alinco Incorporated, Electronics Division",735T2,PH3DR-735T2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3110,"Alinco Incorporated, Electronics Division",A10,PH3DJ-A10,,PH3,Alinco,brand_has_no_code_but_inferred_known
3119,"Alinco Incorporated, Electronics Division",A11,PH3DJ-A11,,PH3,Alinco,brand_has_no_code_but_inferred_known
3163,"Alinco Incorporated, Electronics Division",A40,PH3DJ-A40,,PH3,Alinco,brand_has_no_code_but_inferred_known
3121,"Alinco Incorporated, Electronics Division",A41,PH3DJ-A41,,PH3,Alinco,brand_has_no_code_but_inferred_known
3136,"Alinco Incorporated, Electronics Division",AW1,PH3AW1,,PH3,Alinco,brand_has_no_code_but_inferred_known
3133,"Alinco Incorporated, Electronics Division",AW2,PH3AW2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3150,"Alinco Incorporated, Electronics Division",AXD1,PH3DJ-AXD1,,PH3,Alinco,brand_has_no_code_but_inferred_known
3134,"Alinco Incorporated, Electronics Division",AXD4,PH3DJ-AXD4,,PH3,Alinco,brand_has_no_code_but_inferred_known
3144,"Alinco Incorporated, Electronics Division",B185HT,PH3DR-B185HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3158,"Alinco Incorporated, Electronics Division",B185T,PH3DR-B185T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3169,"Alinco Incorporated, Electronics Division",C7T,PH3DJ-C7T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3147,"Alinco Incorporated, Electronics Division",CS10HT,PH3DR-CS10HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3137,"Alinco Incorporated, Electronics Division",CS25,PH3DR-CS25,,PH3,Alinco,brand_has_no_code_but_inferred_known
3328,"Alinco Incorporated, Electronics Division",DJ-100,PH3-DJ-100,,PH3,Alinco,brand_has_no_code_but_inferred_known
3333,"Alinco Incorporated, Electronics Division",DJ-175T,PH3-DJ-175T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3145,"Alinco Incorporated, Electronics Division",DJ-296T,PH3-DJ-296T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3311,"Alinco Incorporated, Electronics Division",DJ-500,PH3-DJ-500,,PH3,Alinco,brand_has_no_code_but_inferred_known
3324,"Alinco Incorporated, Electronics Division",DJ-500TB,PH3-DJ-500TB,,PH3,Alinco,brand_has_no_code_but_inferred_known
3293,"Alinco Incorporated, Electronics Division",DJ-596T,PH3-DJ-596T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3295,"Alinco Incorporated, Electronics Division",DJ-596TMK2,PH3-DJ-596TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3296,"Alinco Incorporated, Electronics Division",DJ-A10,PH3-DJ-A10,,PH3,Alinco,brand_has_no_code_but_inferred_known
3305,"Alinco Incorporated, Electronics Division",DJ-A11,PH3-DJ-A11,,PH3,Alinco,brand_has_no_code_but_inferred_known
3339,"Alinco Incorporated, Electronics Division",DJ-A40,PH3-DJ-A40,,PH3,Alinco,brand_has_no_code_but_inferred_known
3307,"Alinco Incorporated, Electronics Division",DJ-A41,PH3-DJ-A41,,PH3,Alinco,brand_has_no_code_but_inferred_known
3327,"Alinco Incorporated, Electronics Division",DJ-AXD1,PH3-DJ-AXD1,,PH3,Alinco,brand_has_no_code_but_inferred_known
3315,"Alinco Incorporated, Electronics Division",DJ-AXD4,PH3-DJ-AXD4,,PH3,Alinco,brand_has_no_code_but_inferred_known
3122,"Alinco Incorporated, Electronics Division",DJ-C7T,PH3-DJ-C7T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3340,"Alinco Incorporated, Electronics Division",DJ-FX45,PH3-DJ-FX45,,PH3,Alinco,brand_has_no_code_but_inferred_known
3341,"Alinco Incorporated, Electronics Division",DJ-G29T,PH3-DJ-G29T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3301,"Alinco Incorporated, Electronics Division",DJ-G46T,PH3-DJ-G46T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3300,"Alinco Incorporated, Electronics Division",DJ-G7T,PH3-DJ-G7T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3335,"Alinco Incorporated, Electronics Division",DJ-MD40,PH3-DJ-MD40,,PH3,Alinco,brand_has_no_code_but_inferred_known
3318,"Alinco Incorporated, Electronics Division",DJ-MD5,PH3-DJ-MD5,,PH3,Alinco,brand_has_no_code_but_inferred_known
3319,"Alinco Incorporated, Electronics Division",DJ-NX40T,PH3-DJ-NX40T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3308,"Alinco Incorporated, Electronics Division",DJ-NX45T,PH3-DJ-NX45T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3331,"Alinco Incorporated, Electronics Division",DJ-S40T,PH3-DJ-S40T,,PH3,Alinco,brand_has_no_code_but_inferred_known
2201,"Alinco Incorporated, Electronics Division",DJ-S45T,PH3-DJ-S45T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3326,"Alinco Incorporated, Electronics Division",DJ-V17T,PH3-DJ-V17T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3297,"Alinco Incorporated, Electronics Division",DJ-V27T,PH3-DJ-V27T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3309,"Alinco Incorporated, Electronics Division",DJ-V47T,PH3-DJ-V47T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3316,"Alinco Incorporated, Electronics Division",DJ-V57T,PH3-DJ-V57T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3312,"Alinco Incorporated, Electronics Division",DJ-VX50HT,PH3-DJ-VX50HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3108,"Alinco Incorporated, Electronics Division",DJ-W70HT,PH3-DJ-W70HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3338,"Alinco Incorporated, Electronics Division",DJ-X100T,PH3-DJ-X100T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3313,"Alinco Incorporated, Electronics Division",DJ-X11T,PH3-DJ-X11T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3337,"Alinco Incorporated, Electronics Division",DJ-X30T,PH3-DJ-X30T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3294,"Alinco Incorporated, Electronics Division",DJ-X3T,PH3-DJ-X3T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3304,"Alinco Incorporated, Electronics Division",DJ-X7T,PH3-DJ-X7T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3322,"Alinco Incorporated, Electronics Division",DR-06T,PH3-DR-06T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3299,"Alinco Incorporated, Electronics Division",DR-06TA,PH3-DR-06TA,,PH3,Alinco,brand_has_no_code_but_inferred_known
3332,"Alinco Incorporated, Electronics Division",DR-135TMK2,PH3-DR-135TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3336,"Alinco Incorporated, Electronics Division",DR-135TMK3,PH3-DR-135TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3164,"Alinco Incorporated, Electronics Division",DR138,PH3DR138,,PH3,Alinco,brand_has_no_code_but_inferred_known
3165,"Alinco Incorporated, Electronics Division",DR138HT,PH3DR138HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3123,"Alinco Incorporated, Electronics Division",DR-138TMKII,PH3-DR-138TMKII,,PH3,Alinco,brand_has_no_code_but_inferred_known
3298,"Alinco Incorporated, Electronics Division",DR-235TMK3,PH3-DR-235TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3321,"Alinco Incorporated, Electronics Division",DR-435TMK2,PH3-DR-435TMK2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3310,"Alinco Incorporated, Electronics Division",DR-435TMK3,PH3-DR-435TMK3,,PH3,Alinco,brand_has_no_code_but_inferred_known
3148,"Alinco Incorporated, Electronics Division",DR438,PH3DR438,,PH3,Alinco,brand_has_no_code_but_inferred_known
3132,"Alinco Incorporated, Electronics Division",DR438H,PH3DR438H,,PH3,Alinco,brand_has_no_code_but_inferred_known
3329,"Alinco Incorporated, Electronics Division",DR-620T,PH3-DR-620T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3330,"Alinco Incorporated, Electronics Division",DR-635T,PH3-DR-635T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3320,"Alinco Incorporated, Electronics Division",DR-635T2,PH3-DR-635T2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3131,"Alinco Incorporated, Electronics Division",DR638,PH3DR638,,PH3,Alinco,brand_has_no_code_but_inferred_known
3306,"Alinco Incorporated, Electronics Division",DR-735T,PH3-DR-735T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3314,"Alinco Incorporated, Electronics Division",DR-735T2,PH3-DR-735T2,,PH3,Alinco,brand_has_no_code_but_inferred_known
3323,"Alinco Incorporated, Electronics Division",DR-B185HT,PH3-DR-B185HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3334,"Alinco Incorporated, Electronics Division",DR-B185T,PH3-DR-B185T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3325,"Alinco Incorporated, Electronics Division",DR-CS10HT,PH3-DR-CS10HT,,PH3,Alinco,brand_has_no_code_but_inferred_known
3317,"Alinco Incorporated, Electronics Division",DR-CS25,PH3-DR-CS25,,PH3,Alinco,brand_has_no_code_but_inferred_known
3303,"Alinco Incorporated, Electronics Division",DR-MD500T,PH3-DR-MD500T,,PH3,Alinco,brand_has_no_code_but_inferred_known
3302,"Alinco Incorporated, Electronics Division",DR-MD520T,PH3-DR-MD520T,,PH3,Alinco,brand_has_no_code_but_inferred_known
