Brand,Model,APRS,Air Band,Battery (mAh),Cost (Approx),DMR,Display,Freq. Bands (TX),GPS,Harmonic Suppression Status,Intro Year,Known Rebadges / Clones,Power (W),Satellite Tracking,Website,FCC_ID,Grantee_Code
Adi,AT-18,,,,,,,,,,,,,,,,
Adi,AT-201,,,,,,,,,,,,,,,,
Adi,AT-600,,,,,,,,,,,,,,,,
Adi,HT-204,,,,,,,,,,,,,,,,
Aea,DX-Handy MX-6S / Mizuho MX-6S,,,,,,,,,,,,,,,,
Retevis, Ailunce HD-1,,,,,,,,,,,,,,,2AO3E-HD-1,2AO3E
Retevis, Ailunce H1,,,,,,,,,,,,,,,,
Retevis, Ailunce HA2,,,,,,,,,,,,,,,,
Retevis, Ailunce HA1UV,,,,,,,,,,,,,,,,
Retevis, Ailunce HA1G,,,,,,,,,,,,,,,,
Albrecht,2990 - DRAGON SS 301 - MAGNUM 1012,,,,,,,,,,,,,,,,
Alinco,DJ V57T,,,,,,,,,,,,,,,C4Z-DJV57T,C4Z
Alinco,DJ VX-50,,,,,,,,,,,,,,,C4Z-DJVX-50,C4Z
Alinco,DJ-160T,,,,,,,,,,,,,,,C4Z-DJ-160T,C4Z
Alinco,DJ-175T,,,,,,,,,,,,,,,C4Z-DJ-175T,C4Z
Alinco,DJ-180,,,,,,,,,,,,,,,C4Z-DJ-180,C4Z
Alinco,DJ-190,,,,,,,,,,,,,,,C4Z-DJ-190,C4Z
Alinco,DJ-191,,,,,,,,,,,,,,,C4Z-DJ-191,C4Z
Alinco,DJ-193,,,,,,,,,,,,,,,C4Z-DJ-193,C4Z
Alinco,DJ-195T,,,,,,,,,,,,,,,C4Z-DJ-195T,C4Z
Alinco,DJ-196T,,,,,,,,,,,,,,,C4Z-DJ-196T,C4Z
Alinco,DJ-280TH,,,,,,,,,,,,,,,C4Z-DJ-280TH,C4Z
Alinco,DJ-296T,,,,,,,,,,,,,,,C4Z-DJ-296T,C4Z
Alinco,DJ-480T,,,,,,,,,,,,,,,C4Z-DJ-480T,C4Z
Alinco,DJ-496T,,,,,,,,,,,,,,,C4Z-DJ-496T,C4Z
