manufacturer,model
Adi,AT-18
Adi,AT-201
Adi,AT-600
Adi,HT-204
Aea,DX-Handy MX-6S / Mizuho MX-6S
Ailunce,HD-1
Albrecht,2990 - DRAGON SS 301 - MAGNUM 1012
Alinco,DJ V57T
Alinco,DJ VX-50
Alinco,DJ-160T
Alinco,DJ-175T
Alinco,DJ-180
Alinco,DJ-190
Alinco,DJ-191
Alinco,DJ-193
Alinco,DJ-195T
Alinco,DJ-196T
Alinco,DJ-280TH
Alinco,DJ-296T
Alinco,DJ-480T
Alinco,DJ-496T
Alinco,DJ-500T
Alinco,DJ-560T
Alinco,DJ-580
Alinco,DJ-580T
Alinco,DJ-596
Alinco,DJ-596     EJ-43 DIGITAL BOARD
Alinco,DJ-596T / DJ-596E
Alinco,DJ-C4
Alinco,DJ-C5
Alinco,DJ-C7
Alinco,DJ-F1
Alinco,DJ-G1T
Alinco,DJ-G29T FM
Alinco,DJ-G5TH
Alinco,DJ-G7
Alinco,DJ-MD40
Alinco,DJ-MD5T / DJ-MD5TGP
Alinco,DJ-MD5XTG
Alinco,DJ-S11
Alinco,DJ-S11T
Alinco,DJ-S40T
Alinco,DJ-S41
Alinco,DJ-S45T
Alinco,DJ-V17
Alinco,DJ-V27T
Alinco,DJ-V5T
Alinco,DJ-VX50
Alinco,DJV- 47T
Anytone,ANILE-8R
Anytone,AT-288  2 (70cm) meter HT
Anytone,AT-3318UV-A
Anytone,AT-D868uv dual-band DMR HT
Anytone,AT-D878UV
Anytone,NSTIG-8R
Anytone,TERMN-8R
Azden,AZ-61
Baofeng,/ Pofung / Sainsonic GT-3TP
Baofeng,/Radioddity UV-5RX3 tri-band
Baofeng,5RM Plus
Baofeng,BF-530 I
Baofeng,BF-888
Baofeng,BF-A5
Baofeng,BF-A58
Baofeng,BF-F8+
Baofeng,BFC2
Baofeng,DM-1701 5W
Baofeng,DM-5r Plus
Baofeng,DM-X
Baofeng,DR-1801UV
Baofeng,GT-1 UHF 400-470MHz FM Two-way Ham Radio
Baofeng,GT-3
Baofeng,GT-3 Mark II
Baofeng,GT-3TP Mark III Tri-Power 1/4/8W
