product_name,manufacturer,model
Yaesu FT-60R,Yaesu,FT-60R
Yaesu VX-7R,Yaesu,VX-7R
Baofeng/Pofung UV-5R,Baofeng,UV-5R
Yaesu VX-5R,Yaesu,VX-5R
Kenwood TH-F6A,Kenwood,TH-F6A
Yaesu VX-150,Yaesu,VX-150
WOUXUN KG-UVD1P,Wouxun,KG-UVD1P
Yaesu VX-3R,Yaesu,VX-3R
Yaesu VX-6R,Yaesu,VX-6R
Yaesu VX-2R,Yaesu,VX-2R
Baofeng/Pofung UV3R,Baofeng,UV3R
Kenwood TH-G71A,Kenwood,TH-G71A
Yaesu VX-170,Yaesu,VX-170
Radio Shack HTX-202,Radio Shack,HTX-202
ICOM IC-W32A,Icom,IC-W32A
Icom IC-T90A,Icom,IC-T90A
Icom IC-T7A & T7H,Icom,IC-T7A & T7H
Alinco DJ-V5T,Alinco,DJ-V5T
Yaesu FT-70DR dual band digital HT,Yaesu,FT-70DR
Yaesu FT-50R,Yaesu,FT-50R
Icom IC-V8,Icom,IC-V8
BaoFeng/Pofung UV-5R+,Baofeng,UV-5R+
Yaesu VX-8R,Yaesu,VX-8R
Icom IC-T2A & T2H,Icom,IC-T2A & T2H
Yaesu VX-1R,Yaesu,VX-1R
Radio Shack HTX-420,Radio Shack,HTX-420
Wouxun KG-UV3D,Wouxun,KG-UV3D
Yaesu FT-530,Yaesu,FT-530
RFinder B1,Rfinder,B1
Baofeng/Pofung UV-82,Baofeng,UV-82
Kenwood TH-D7A(G),Kenwood,TH-D7A
Icom ID-51A,Icom,ID-51A
Kenwood TH-D72,Kenwood,TH-D72
Quansheng TG-UV2,Quansheng,TG-UV2
Radio Shack HTX-200,Radio Shack,HTX-200
Kenwood TH-D74A/E,Kenwood,TH-D74A/E
Wouxun KG-UV2D,Wouxun,KG-UV2D
Yaesu FT-65R,Yaesu,FT-65R
ICOM IC-91AD,Icom,IC-91AD
Radio Shack HTX-245,Radio Shack,HTX-245
Icom IC-T81A/E,Icom,IC-T81A/E
Icom IC-92AD,Icom,IC-92AD
ADI AT-201,Adi,AT-201
Yaesu FT3DR/DE,Yaesu,FT3DR/DE
Yaesu FT-2DR,Yaesu,FT-2DR
Puxing,Puxing,
Kenwood TH-K2AT,Kenwood,TH-K2AT
Icom IC-2AT,Icom,IC-2AT
Yaesu FT-51R,Yaesu,FT-51R
Anytone AT-D878UV Dual band DMR Transceiver,Anytone,AT-D878UV
Alinco DJ-G7,Alinco,DJ-G7
Yaesu FT5DR,Yaesu,FT5DR
Wouxun KG-UVD1,Wouxun,KG-UVD1
TYT MD380,Tyt,MD380
Yaesu FT1D,Yaesu,FT1D
ICOM IC-Q7A,Icom,IC-Q7A
Yaesu FT-250R,Yaesu,FT-250R
Baofeng/Pofung UV-B6,Baofeng,UV-B6
Yaesu FT-270R,Yaesu,FT-270R
Wouxun KG-UV6D,Wouxun,KG-UV6D
Icom IC-T70A,Icom,IC-T70A
Icom IC-V82,Icom,IC-V82
Kenwood TH-7E,Kenwood,TH-7E
Alinco DJ-195T,Alinco,DJ-195T
ICOM ID-31,Icom,ID-31
FDC  FD-150A/450A,Fdc,FD-150A/450A
Kenwood TH-G71,Kenwood,TH-G71
Yaesu FT-470,Yaesu,FT-470
Wouxun KG UV8D,Wouxun,KG UV8D
Baofeng/Pofung BF-F8HP,Baofeng,BF-F8HP
Connect Systems CS-700,Connect Systems,CS-700
Yaesu VX-8GR,Yaesu,VX-8GR
Icom IC-V80,Icom,IC-V80
Motorola GP300,Motorola,GP300
YAESU FT-4XR – VHF/UHF Dual Band FM Handheld Transceiver,Yaesu,FT-4XR
Anytone AT-D868uv dual-band DMR HT,Anytone,AT-D868uv dual-band DMR HT
Baofeng/Pofung BF-888,Baofeng,BF-888
Alinco DJ-580,Alinco,DJ-580
ICOM Q7A,Icom,Q7A
ADI AT-600,Adi,AT-600
Alinco DJ-G5TH,Alinco,DJ-G5TH
Kenwood TH-D7A/E,Kenwood,TH-D7A/E
Alinco DJ-MD5T / DJ-MD5TGP,Alinco,DJ-MD5T / DJ-MD5TGP
Radioddity GD-77 Dual Band DMR,Radioddity,GD-77
BaoFeng/Pofung GT-3,Baofeng,GT-3
Yaesu VX-8DR,Yaesu,VX-8DR
ICOM T8a,Icom,T8a
Alinco DJ-G29T FM Dual Band,Alinco,DJ-G29T FM
Alinco DJ-596,Alinco,DJ-596
