FCC ID,Grantee Code,Grantee Name,Application Purpose,Grant Date
2AJGM-1901D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/01/2024
2AJGM-1904D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/07/2024
2AJGM-1909D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/11/2024
2AJGM-5GMINI,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/15/2025
2AJGM-5GPLUS,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/21/2024
2AJGM-5RH,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/25/2024
2AJGM-5RHPRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/08/2024
2AJGM-5RM,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/23/2024
2AJGM-5RMINI,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/15/2025
2AJGM-5RX,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/01/2024
2AJGM-888HD,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/26/2024
2AJGM-888S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/15/2024
2AJGM-888SD,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/27/2024
2AJGM-AR152,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/16/2021
2AJGM-AR152PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/08/2025
2AJGM-AR1909U,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/07/2023
2AJGM-AR39,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/10/2025
2AJGM-AT2,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/13/2026
2AJGM-BF-88A,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/04/2018
2AJGM-BF-T12,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/28/2019
2AJGM-BF-T3,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/02/2017
2AJGM-BF-T9,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/04/2019
2AJGM-BF888S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/17/2018
2AJGM-BF88A,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/27/2021
2AJGM-BF88ST,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,12/07/2020
2AJGM-BFA58,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/18/2018
2AJGM-BFC2,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/11/2018
2AJGM-BFC3,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/11/2018
2AJGM-BFF8HPPRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/09/2024
2AJGM-BFR5,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/16/2018
2AJGM-BFT1,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/10/2018
2AJGM-BFT6,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/16/2018
2AJGM-BFT8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/12/2019
2AJGM-DM-5R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,03/07/2018
2AJGM-DM1701,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/22/2018
2AJGM-DM1702,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/21/2018
2AJGM-DM1703,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/22/2018
2AJGM-DM1706,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/18/2019
2AJGM-DM1801,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/01/2019
2AJGM-DM1801PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/13/2026
2AJGM-DM32UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/25/2025
2AJGM-DM36,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/13/2026
2AJGM-DMV1,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/26/2019
2AJGM-DR1801,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/23/2023
2AJGM-F10,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/24/2020
2AJGM-F12,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/01/2021
2AJGM-F17,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/12/2020
2AJGM-F19,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/21/2020
2AJGM-F22,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/20/2021
2AJGM-F8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/29/2020
2AJGM-F8HP,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,12/16/2020
2AJGM-FR31S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/10/2023
2AJGM-GM15PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/24/2022
2AJGM-GM21,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/01/2024
2AJGM-GM30,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/23/2022
2AJGM-GM32,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/14/2026
2AJGM-GMT8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/31/2023
2AJGM-GT18,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,11/13/2023
2AJGM-GT68,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/26/2023
2AJGM-K5M,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/26/2024
2AJGM-K6PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,03/17/2025
2AJGM-M4,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/29/2025
